data_x data_y data_z
0.330312 0.343511 59.91177800427337
0.373962 0.330433 56.94340104153129
0.394813 0.3333 53.18949609995067
0.423219 0.330465 57.22063478518916
0.443386 0.332734 55.28888152184549
0.472398 0.32637 41.45454208785008
0.510027 0.327468 57.54285479979248
0.531121 0.322617 49.80102140013462
0.555341 0.317849 48.30474817002983
0.562846 0.314105 43.500575200679826
0.602883 0.314826 37.304781499114384
0.628343 0.321159 32.86756041251009
0.012123 0.390496 93.15791729150024
0.0557741 0.382305 85.36084559507754
0.113715 0.378812 85.28521899080755
0.15209 0.379574 77.34332299410208
0.194386 0.372859 76.44716424269771
0.21907 0.372156 78.28602617977235
0.256887 0.36716 81.6068871853759
0.303422 0.369015 70.8301795354918
0.32018 0.366454 75.27837464225699
0.364106 0.359029 65.45100377964675
0.383914 0.36013 69.9101193160666
0.410854 0.357852 68.35082744941718
0.445358 0.345254 65.25993908190027
0.500228 0.347898 59.388224055250774
0.491998 0.34084 55.29679560860647
0.522887 0.33859 57.883233276686724
0.546089 0.332363 44.50846538667299
0.566008 0.332737 53.4952267740154
0.572734 0.32761 48.18954033352743
0.610521 0.338648 57.167699336426
0.00948763 0.412878 112.69867268961069
0.0592344 0.407007 101.05751757621333
0.0873672 0.410455 113.22556083764832
0.144833 0.399628 97.26308449903627
0.182343 0.395582 88.01286341226871
0.228796 0.389658 99.0328119407738
0.271007 0.389075 86.14511509422148
0.30472 0.384786 84.77968165437204
0.330172 0.381827 93.42102409854006
0.371038 0.382011 90.96720559023822
0.403557 0.371322 78.86107802830664
0.413014 0.371507 73.18092983548833
0.46827 0.362987 71.27114070847097
0.481851 0.362207 69.41784095502155
0.499418 0.361851 73.52255299387166
0.518813 0.353431 63.890832809044944
0.536294 0.354333 65.80554790362791
0.577958 0.342712 54.06524602061846
0.575276 0.352847 63.65901635249061
0.602967 0.355405 64.59796715258668
0.0125234 0.433703 123.65615497822986
0.0588125 0.425248 121.59333604135824
0.108238 0.422575 129.10367028864826
0.147334 0.420007 115.17212495651889
0.181065 0.413373 117.40605386293616
0.221805 0.408245 107.05987549342036
0.252724 0.412872 111.1109381114209
0.303192 0.401612 101.92218687405602
0.329176 0.397087 94.53762059021794
0.366259 0.396443 94.68794537870173
0.405128 0.381996 80.93845870680597
0.432201 0.384051 79.78150887471774
0.449026 0.38874 88.51826894515429
0.481376 0.373369 74.73793571484742
0.516849 0.375887 71.80068807620626
0.54487 0.37088 79.70575722579058
0.543538 0.362822 65.43367769675898
0.567863 0.360173 67.00515498163804
0.583291 0.35409 48.633179740653055
0.599564 0.368368 73.92730315280455
0.00971777 0.452559 146.69389382997508
0.0601706 0.446742 147.99022193036944
0.109454 0.444305 139.92887262820352
0.143095 0.445247 136.05248508571978
0.185663 0.431232 132.5793865563824
0.226341 0.425337 119.52686527583106
0.262492 0.42695 122.51344687829169
0.307249 0.424174 126.18364500203661
0.337526 0.420498 111.2399734762644
0.364302 0.414404 115.69469403707905
0.398583 0.413543 118.5626241232877
0.410622 0.413746 104.86862290226122
0.443035 0.400624 91.9804955736088
0.471237 0.397254 101.97545934285694
0.50225 0.392801 81.33241556339432
0.518067 0.387017 89.33974249552473
0.550438 0.382944 83.16081173269053
0.573207 0.372081 74.01229624681743
0.58959 0.362658 73.35759750980127
0.610527 0.379435 70.34200128465213
0.0113174 0.473789 178.235166629185
0.0607217 0.473717 172.77016628746992
0.105747 0.454296 147.2159503201561
0.140579 0.46127 160.85757242770183
0.182757 0.452463 150.0191445182914
0.226521 0.448575 135.37359005606177
0.255372 0.449818 148.7141224889777
0.297381 0.439594 135.89061478630524
0.322799 0.434705 132.30139628514888
0.354974 0.434629 121.78094488328898
0.381608 0.422331 117.44055814325817
0.410145 0.421254 119.15257472144695
0.46003 0.410373 100.1675059557739
0.457422 0.408054 113.59138331610664
0.4955 0.405322 92.21013392530853
0.537362 0.393913 90.40112089662753
0.540876 0.39635 88.03151565079786
0.579163 0.388633 73.13330984091084
0.595708 0.384741 82.22422118114994
0.612278 0.390083 79.08007819389998
0.0088584 0.492983 192.60620384695125
0.0479502 0.488007 190.61825336607546
0.108958 0.483406 183.3749537332366
0.151148 0.481184 176.06479317758752
0.186387 0.468993 163.76752838093395
0.218967 0.473813 175.20764630384522
0.261036 0.459261 149.40716882733574
0.293422 0.457461 148.1978216540311
0.329605 0.448343 147.6628720114392
0.371355 0.445535 138.78981296070208
0.401246 0.43603 133.14157456006495
0.406856 0.433349 132.5799956818524
0.470823 0.418389 102.26821383253288
0.498931 0.423916 108.1345100240745
0.493977 0.414993 105.31983878233326
0.514596 0.410424 102.52445748452742
0.542288 0.406921 88.1386109276557
0.580211 0.402182 73.32317332471821
0.604412 0.387866 74.90393163906685
